Laynhapuy Homelands School,(08) 898 71224,yhs.admin@ntschools.net,yhs.admin@ntschools.net,"PMB 747, Nhulunbuy, 0881, NT","PMB 747, Nhulunbuy, 0881, NT"
Larapinta Primary School,(08) 895 85155,larapinta.primary@education.nt.gov.au,larapinta.primary@education.nt.gov.au,"PO Box 9021, ALICE SPRINGS, 0871, NT","PO Box 9021, ALICE SPRINGS, 0871, NT"
Laramba School,(08) 8956 8771,laramba.school@education.nt.gov.au,laramba.school@education.nt.gov.au,"PMB 213, via Alice Springs, 0872, NT","PMB 213, via Alice Springs, 0872, NT"
Kintore Street School,(08) 8973 3888,kintore.admin@education.nt.gov.au,kintore.admin@education.nt.gov.au,"PO Box 1931, KATHERINE, 0851, NT","PO Box 1931, KATHERINE, 0851, NT"
Kiana School,(08) 8975 9820,gordon.halling@education.nt.gov.au,gordon.halling@education.nt.gov.au,"PMB 33, via Tennanat Creek, 0861, NT","PMB 33, via Tennanat Creek, 0861, NT"
Katherine High School,(08) 897 38200,admin.kathehs@education.nt.gov.au,admin.kathehs@education.nt.gov.au,"PO Box 189, KATHERINE, 0851, NT","PO Box 189, KATHERINE, 0851, NT"
Katherine School Of The Air,(08) 896 51555,kath.soa@education.nt.gov.au,kath.soa@education.nt.gov.au,"PO Box 531, KATHERINE, 0851, NT","PO Box 531, KATHERINE, 0851, NT"
Katherine South Primary School,(08) 8972 1277,karen.taylor@education.nt.gov.au,karen.taylor@education.nt.gov.au,"PO Box 721, KATHERINE, 0851, NT","PO Box 721, KATHERINE, 0851, NT"
Katherine Flexible Learning Centre,(08) 897 38200,tba,tba,"PO Box 189, Katherine, 0851, NT","PO Box 189, Katherine, 0851, NT"
Karama Primary School,(08) 898 37700,karama.school@education.nt.gov.au,karama.school@education.nt.gov.au,"PO Box 103, Karama, 0813, NT","PO Box 103, Karama, 0813, NT"
Kalkaringi School,(08) 896 51888,shania.smiler@education.nt.gov.au,shania.smiler@education.nt.gov.au,"PMB 41, KATHERINE, 0852, NT","PMB 41, KATHERINE, 0852, NT"
Jingili Primary School,(08) 898 37555,jingili.school@education.nt.gov.au,jingili.school@education.nt.gov.au,"PO Box 40600, CASUARINA, 0810, NT","PO Box 40600, CASUARINA, 0810, NT"
Jilkminggan School,(08) 8975 4896,admin.jilkmsch@education.nt.gov.au,admin.jilkmsch@education.nt.gov.au,"PO Box 4054, Mataranka, 0852, NT","PO Box 4054, Mataranka, 0852, NT"
Jabiru Area School,(08) 8938 3333,jabiru.areaschool@education.nt.gov.au,jabiru.areaschool@education.nt.gov.au,"PO Box  246, Jabiru, 0886, NT","PO Box  246, Jabiru, 0886, NT"
Imanpa School,(08) 8956 7483,kandi.thorpe@education.nt.gov.au,kandi.thorpe@education.nt.gov.au,"PMB 76, via Alice Springs, 0872, NT","PMB 76, via Alice Springs, 0872, NT"
Sadadeen Primary School,(08) 895 52299,sadadeen.primary@education.nt.gov.au,sadadeen.primary@education.nt.gov.au,"PO Box 2707, ALICE SPRINGS, 0871, NT","PO Box 2707, ALICE SPRINGS, 0871, NT"
Humpty Doo Primary School,(08) 8988 1255,admin.humptydoo@education.nt.gov.au,admin.humptydoo@education.nt.gov.au,"PO Box 46, HUMPTY DOO, 0836, NT","PO Box 46, HUMPTY DOO, 0836, NT"
Holy Spirit Catholic School,(08) 8927 3411,yola.gray@nt.catholic.edu.au,yola.gray@nt.catholic.edu.au,"PO Box 40030, Casuarina, 0810, NT","PO Box 40030, Casuarina, 0810, NT"
Holy Family Catholic School,(08) 89276188,admin.holyfamily@nt.catholic.edu.au,admin.holyfamily@nt.catholic.edu.au,"PO Box 40870, Casuarina, 0812, NT","PO Box 40870, Casuarina, 0812, NT"
Howard Springs Primary School,(08) 898 30000,howard.springs@education.nt.gov.au,howard.springs@education.nt.gov.au,"PO Box  171, HOWARD SPRINGS, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT"
Henbury School,(08) 899 77077,henbury.admin@education.nt.gov.au,henbury.admin@education.nt.gov.au,"11 Henbury Avenue, Tiwi, 0810, NT","12 Henbury Avenue, Tiwi, 0810, NT"
Harts Range School,(08) 8956 9771,harts.school@education.nt.gov.au,harts.school@education.nt.gov.au,"PMB 162, via Alice Springs, 0871, NT","PMB 162, via Alice Springs, 0871, NT"
Haileybury Rendall School,(08) 8922 1611,hrs.admin@hrs.edu.au,hrs.admin@hrs.edu.au,"PO Box 241, Berrimah, 0828, NT","PO Box 241, Berrimah, 0828, NT"
Haasts Bluff School,(08) 8956 8550,geoff.gillman@education.nt.gov.au,geoff.gillman@education.nt.gov.au,"Haasts Bluff, via Alice Springs, 0872, NT","Haasts Bluff, via Alice Springs, 0872, NT"
Gunbalanya School,(08) 8979 0181,admin.gunbacec@education.nt.gov.au,admin.gunbacec@education.nt.gov.au,"PMB 66, Gunbalanya, 0822, NT","PMB 66, Gunbalanya, 0822, NT"
Good Shepherd Lutheran School,(08) 8983 0300,admin@goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,"PO Box 1146, Howard Springs, 0831, NT","PO Box 1146, Howard Springs, 0831, NT"
Gray Primary School,(08) 8932 1700,admin.graysch@education.nt.gov.au,admin.graysch@education.nt.gov.au,"Victoria Drive, GRAY, 0830, NT","Victoria Drive, GRAY, 0830, NT"
Good Shepherd Lutheran College,08 89830300,admin@goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,"PO Box 1146, Howard Springs, 0831, NT","PO Box 1146, Howard Springs, 0831, NT"
Girraween Primary School,(08) 8983 3300,admin.girrasch@education.nt.gov.au,admin.girrasch@education.nt.gov.au,"PO Box 1042, HOWARD SPRINGS, 0835, NT","PO Box 1042, HOWARD SPRINGS, 0835, NT"
Gillen Primary School,(08) 895 52155,gillen.school@education.nt.gov.au,gillen.school@education.nt.gov.au,"PO Box 769, ALICE SPRINGS, 0871, NT","PO Box 769, ALICE SPRINGS, 0871, NT"
Gawa Christian School,8970 5212,admin.gcs@ntschools.net,admin.gcs@ntschools.net,"PMB 257, Elcho Island via Winnellie, 0822, NT","PMB 257, Elcho Island via Winnellie, 0822, NT"
Gapuwiyak Pre School,(08) 8987 9122,,,", , , ",", , , "
Gapuwiyak School,(08) 8987 9122,admin.gapuwcec@education.nt.gov.au,admin.gapuwcec@education.nt.gov.au,"PMB 900, Via Winnellie, 0822, NT","PMB 900, Via Winnellie, 0822, NT"
Forrest Parade School,(08) 899 77111,admin.forrestps@education.nt.gov.au,admin.forrestps@education.nt.gov.au,"120 Flynn Circuit, Bellamack, 0832, NT","121 Flynn Circuit, Bellamack, 0832, NT"
Essington School,(08) 8985 0100,administration@essington.nt.edu.au,administration@essington.nt.edu.au,"PO Box 42321, Casuarina, 0811, NT","PO Box 42321, Casuarina, 0811, NT"
Finke School,(08) 8956 0960,finke.school@education.nt.gov.au,finke.school@education.nt.gov.au,"PMB 30, via Alice Springs, 0871, NT","PMB 30, via Alice Springs, 0871, NT"
Family as First Teachers,(08) 899 93550,faft.doe@education.nt.gov.au,faft.doe@education.nt.gov.au,"GPO Box 4821, Darwin, 0801, NT","GPO Box 4821, Darwin, 0801, NT"
Epenarra School,(08) 8964 1512,jennifer.cadzow@education.nt.gov.au,jennifer.cadzow@education.nt.gov.au,"PMB 270, via Alice Springs, 0861, NT","PMB 270, via Alice Springs, 0861, NT"
Elliott School,(08) 8969 2050,kevin.gaskin@education.nt.gov.au,kevin.gaskin@education.nt.gov.au,"C/- Elliott Post Office, Elliott, 0862, NT","C/- Elliott Post Office, Elliott, 0862, NT"
Durack Primary School,(08) 899 77555,durack.school@education.nt.gov.au,durack.school@education.nt.gov.au,"PO Box  225, PALMERSTON, 0830, NT","PO Box  225, PALMERSTON, 0830, NT"
Dundee Beach School,(08) 8978 2212,dundee.school@education.nt.gov.au,dundee.school@education.nt.gov.au,"PO Box 145, Dundee Beach, 0840, NT","PO Box 145, Dundee Beach, 0840, NT"
Dripstone Middle School,(08) 898 37777,dripstone.middle@education.nt.gov.au,dripstone.middle@education.nt.gov.au,"PO Box  41370, CASUARINA, 0811, NT","PO Box  41370, CASUARINA, 0811, NT"
Douglas Daly School,(08) 8978 2836,janelle.thorne@education.nt.gov.au,janelle.thorne@education.nt.gov.au,"PMB 46, via Winnellie, 0822, NT","PMB 46, via Winnellie, 0822, NT"
Driver Primary School,(08) 893 59000,admin.drivesch@education.nt.gov.au,admin.drivesch@education.nt.gov.au,"PO Box  33, PALMERSTON, 0831, NT","PO Box  33, PALMERSTON, 0831, NT"
Darwin Middle School,(08) 894 25200,admin.darwinmiddle@education.nt.gov.au,admin.darwinmiddle@education.nt.gov.au,"PO Box 2257, PARAP, 0804, NT","PO Box 2257, PARAP, 0804, NT"
Darwin Languages Centre,(08) 899 77000,dlc.nt@education.nt.gov.au,dlc.nt@education.nt.gov.au,"P O Box 822, Nightcliff, 0814, NT","P O Box 822, Nightcliff, 0814, NT"
Darwin High School,(08) 899 91222,darwin.high@education.nt.gov.au,darwin.high@education.nt.gov.au,"Bullocky Point, DARWIN, 0820, NT","Bullocky Point, DARWIN, 0820, NT"
Clyde Fenton Primary School,(08) 897 33844,admin.clydesch@education.nt.gov.au,admin.clydesch@education.nt.gov.au,"PO Box 421, KATHERINE, 0851, NT","PO Box 421, KATHERINE, 0851, NT"
Centralian Middle School,(08) 895 52333,centralian.middle@education.nt.gov.au,centralian.middle@education.nt.gov.au,"PO Box 1771, ALICE SPRINGS, 0871, NT","PO Box 1771, ALICE SPRINGS, 0871, NT"
Casuarina Senior College,(08) 898 37300,csc.admin@education.nt.gov.au,csc.admin@education.nt.gov.au,"PO Box  40196, CASUARINA, 0811, NT","PO Box  40196, CASUARINA, 0811, NT"
Casuarina Street Primary School,(08) 897 33800,casuarina.admin@education.nt.gov.au,casuarina.admin@education.nt.gov.au,"PO Box 1046, KATHERINE, 0851, NT","PO Box 1046, KATHERINE, 0851, NT"
Callistemon House,(08) 8972 3212,admin.callistemon@education.nt.gov.au,admin.callistemon@education.nt.gov.au,"PO Box 1971, Katherine East, 0851, NT","PO Box 1971, Katherine East, 0851, NT"
Canteen Creek School,(08) 8964 1505,admin.cantesch@education.nt.gov.au,admin.cantesch@education.nt.gov.au,"PMB 105, via Alice Springs, 0872, NT","PMB 105, via Alice Springs, 0872, NT"
Centralian Senior College,(08) 895 85000,admin.centraliansc@education.nt.gov.au,admin.centraliansc@education.nt.gov.au,"PO Box 4856, ALICE SPRINGS, 0871, NT","PO Box 4856, ALICE SPRINGS, 0871, NT"
Bulman School,(08) 8975 4707,lawry.mahon@education.nt.gov.au,lawry.mahon@education.nt.gov.au,"PMB 13, Katherine, 0851, NT","PMB 13, Katherine, 0851, NT"
Bulla Camp School,(08) 9167 8957,jenine.williams@education.nt.gov.au,jenine.williams@education.nt.gov.au,"PMB 89, Katherine, 0851, NT","PMB 89, Katherine, 0851, NT"
Braitling Primary School,(08) 895 85111,admin.braitsch@education.nt.gov.au,admin.braitsch@education.nt.gov.au,"PO Box  1669, ALICE SPRINGS, 0871, NT","PO Box  1669, ALICE SPRINGS, 0871, NT"
Bradshaw Primary School,(08) 895 52100,bradshaw.school@education.nt.gov.au,bradshaw.school@education.nt.gov.au,"PO Box 1744, ALICE SPRINGS, 0871, NT","PO Box 1744, ALICE SPRINGS, 0871, NT"
Borroloola School,(08) 896 51800,admin.borrosch@education.nt.gov.au,admin.borrosch@education.nt.gov.au,"PMB 5, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT"
Belyuen School,(08) 8978 5085,elspeth.hurse@education.nt.gov.au,elspeth.hurse@education.nt.gov.au,"PMB 2, GPO Darwin, 0801, NT","PMB 2, GPO Darwin, 0801, NT"
Bonya School,(08) 8956 6352,mark.webster@education.nt.gov.au,mark.webster@education.nt.gov.au,"PMB 69, via Alice Springs, 0872, NT","PMB 69, via Alice Springs, 0872, NT"
Berry Springs Primary School,(08) 8988 6006,berrysprings.primary@education.nt.gov.au,berrysprings.primary@education.nt.gov.au,"PO Box 135, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT"
Bees Creek Primary School,(08) 8983 3222,bees.creek@education.nt.gov.au,bees.creek@education.nt.gov.au,"PO Box 1500, Coolalinga, 0839, NT","PO Box 1500, Coolalinga, 0839, NT"
Batchelor Area School,(08) 8976 0077,batchelor.as@education.nt.gov.au,batchelor.as@education.nt.gov.au,"c/-, Batchelor Post Office, 0845, NT","c/-, Batchelor Post Office, 0845, NT"
Barunga School,(08) 8975 4502,office.barunga@education.nt.gov.au,office.barunga@education.nt.gov.au,"PMB 117, via Katherine, 0851, NT","PMB 117, via Katherine, 0851, NT"
Baniyala Garrangali School,(08) 8987 9114,cameron.adams@education.nt.gov.au,cameron.adams@education.nt.gov.au,"PO Box 1496, NHULUNBUY, 0881, NT","PO Box 1496, NHULUNBUY, 0881, NT"
Areyonga School,(08) 8956 7303,areyonga.school@education.nt.gov.au,areyonga.school@education.nt.gov.au,"Areyonga, via Alice Springs, 0872, NT","Areyonga, via Alice Springs, 0872, NT"
Bakewell Primary School,(08) 899 77400,admin.bakewell@education.nt.gov.au,admin.bakewell@education.nt.gov.au,"PO Box 1300, PALMERSTON, 0831, NT","PO Box 1300, PALMERSTON, 0831, NT"
Arlparra School,(08) 8956 9178,stephen.nimmo@education.nt.gov.au,stephen.nimmo@education.nt.gov.au,"PMB 18, via ALICE SPRINGS, 0872, NT","PMB 18, via ALICE SPRINGS, 0872, NT"
Acacia Hill School,(08) 895 52222,acaciahill.school@education.nt.gov.au,acaciahill.school@education.nt.gov.au,"PO Box 435, ALICE SPRINGS, 0871, NT","PO Box 435, ALICE SPRINGS, 0871, NT"
